Comments,Unnamed: 1,Unnamed: 2,neg,neu,pos,comp
"Stop Gaza genocide
#prayforPalestine
#freePalestine",,,0.355,0.645,0.0,-0.296
"More beautiful Zionist talk.
Would you like these people to live in your country?

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslimâ¦",,,0.0,0.818,0.182,0.7713
Highlights from last nights debate: We must condemn the terrorist group of HAMAS! #usa #hamasterrorists #hamaspalestine #palestine #nikkihaley #gop #gopdebate #israel #prayforpalestine #prayforisrael,,,0.266,0.734,0.0,-0.8221
"#AsslamuAllekum 
Do not say that our problems are big to Allah, but rather tell your problems that our Allah is very great, merciful, and generous. Insha'Allah, Allah will make everything better one day
#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide #Shams_T 
",,,0.102,0.625,0.273,0.8998
"Well said Rangers fan David

I hope many more Rangers fans speak out about the Genocide taking place in Gaza right now. 
#PrayForPalestine ",,,0.0,0.722,0.278,0.743
"Let us join together in heartfelt prayers for the people of Palestine. May Allah protect them, grant them strength, and bring an end to the injustice they face. 
#PrayForPalestine #JummahMubarak #PeaceForPalestine #FreePalestine 
#FreePalaestine 
#FreePalestineâ¦",,,0.081,0.613,0.306,0.8519
"With 75 years under occupation. Palestine don't need peace, We want freedom.. 

#WestandwithPalestine #raiseVoiceForPalestine #FreePalestine #PrayForPalestine #PalestinianLivesMatter",,,0.149,0.783,0.068,-0.3716
"Even Birds Know Israel Is Terrorist Nation.
Free Palestine 
Pray For Palestinian Peoples.

#Palestine #PalestineUnderAttack
  #Iran #PrayForPalestine
#IsraelTerorrist
#Hezbollah #Israel  #Lebanon
 #Hamas #Gaza
#SupportGaza #ÙÙØ³Ø·ÙÙ #Lebanonnews #Gaza  #AlAqsaFloodOperat",,,0.133,0.708,0.159,-0.0258
"Gazaâs two biggest hospitals cease operations as WHO warns of rising deaths

#FreePalestineFromIsrael #PrayForPalestine",,,0.097,0.903,0.0,-0.1027
"Philippine human rights campaigner granted bail

#FreePalestineFromIsrael #PrayForPalestine",,,0.0,0.778,0.222,0.25
"Palestine girl's appeal. 
#Palestine 
#PrayForPalestine #StopTheWarNow",,,0.0,1.0,0.0,0.0
"I have concerns abt AI regarding
#palestine Q. 
#GazaHolocaust #freepalestine #istandwithpalestine #freepalestine#istandwithpalestine #palestinewillbefree #palestineunderattack #prayforpalestine #gazaunderattack #gazapalestine #freegaza #Ø·ÙÙØ§Ù_Ø§ÙØ§ÙØµ
""10,000 Palestinians""",,,0.0,1.0,0.0,0.0
"We keep that winning feeling ! 
Letâs continue the good work

#FreePalestineFromIsrael #PrayForPalestine",,,0.0,0.527,0.473,0.7959
"American nurse talks about her experience in Gaza. 

#palestine #savepalestine #savegaza #palestina #palestinian #jerusalem #children #israel #alquds #bds #islam #alaqsa #prayforpalestine #gazastrip #turkey #savepalestina #savealaqsa #muslim #humanrights #apartheid 
#gazaâ¦",,,0.0,1.0,0.0,0.0
" Over 100 Congressional staffers unite in a powerful walkout at the US Capitol, demanding a ceasefire in Gaza. Their call for peace echoes across the nation.  #CeasefireNow #PeacefulResolution #UnitedForPeace 
 #PrayForPalestine #PeaceAndJustice
 #Gaza_Geniocideâ¦",,,0.115,0.712,0.173,0.4767
"Turkish women condemn Israel in sit-in protest for Palestine

#FreePalestineFromIsrael #PrayForPalestine #PrayForGhaza #PrayForPeace",,,0.295,0.705,0.0,-0.5574
"United in solidarity, sending prayers for the safety and well-being of the people of Palestine.  #StandWithPalestine #PrayForPalestine
#FreePalaestine 
#FreePalestine 
#WeStandWithPalestine 
#WeStandWithGaza",,,0.0,0.698,0.302,0.7783
"Exclusive: Chinese Submarine, Warships In Karachi - What It Means For India

#FreePalestineFromIsrael #PrayForPalestine #PrayForGhaza #PrayForPeace",,,0.094,0.812,0.094,0.0
"Health assistance and medical supplies for Palestine, Alhamdulillah, have been distributed on Thursday, November 9, 2023. This aid was given to the Syuhada Jabaliya Health Center in North Gaza in the form of 1 unit of health aid and 30 medical supply packages. #prayforpalestine",,,0.0,1.0,0.0,0.0
Injustice crime   no matter how high it may rise  remember that in the court of Allah  there is only justice., crime,,0.325,0.519,0.156,-0.7096
"#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide""",,,0.0,1.0,0.0,0.0
"Russia-Ukraine war live: Germany to âmassively expandâ support for Ukraine, foreign minister says

#FreePalestineFromIsrael #PrayForPalestine #PrayForGhaza #PrayForPeace",,,0.181,0.694,0.125,-0.296
"Explained like you are a five years old                                    Illustration by 

          #prayforpalestine #digitalart #illustration #humanity #humanrights #stayontherightsideofhistory",,,0.0,0.848,0.152,0.3612
"Powerful Tuesday Prayer
#FreePalestine 
#PrayForGhaza 
#PrayforPalestine",,,0.0,0.641,0.359,0.4215
" #StandWithPalestine   #EndViolence  
 We mourn the loss of many brothers and sisters to acts of terrorism. Together, let's strive for peace and justice. #PrayForPalestine #EndViolence 
`terrorists  Occupier `",,,0.258,0.559,0.184,-0.4215
This is Reality.    #PrayForPalestine,,,0.0,1.0,0.0,0.0
"Let's continue to keep Palestine in our thoughts and prayers. May peace, justice, and comfort find their way to the resilient people of Palestine.  #PrayForPalestine",,,0.0,0.701,0.299,0.8555
"South Africa stand with Palestine  

#PrayForPalestine #FreePalestineFromIsrael #IsraelisATerorristState 
#Ø·ÙÙØ§Ù_Ø§ÙØ£ÙØµÙ",,,0.0,1.0,0.0,0.0
"Indeed Almighty Allah! Will help you and reward you more than these hardships.
#ArmiesToAqsa
#PrayforPalestine 
#Gaza #Gaza #Gaza_Genocide #GazaHolocaust #Ø£Ø¨ÙØ¹Ø¨ÙØ¯Ø© #IsraelisaGenocidalState #PalestinianLivesMatter",,,0.0,0.749,0.251,0.7712
"Did something similar but because she was proudly transphobic. It hurts at first, but then you realize how relieved you'll feel not having someone so hateful in your circle. Anyways #PrayForPalestine ",,,0.218,0.598,0.184,-0.3662
"London, throughout Britain, and around the world, a historic day and protest

#FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
@IMshamstrz",,,0.118,0.882,0.0,-0.25
" Heartbreaking to see the destruction in Palestine. Let's stand together and pray for peace, justice, and support for the affected. May Allah bring relief to those in need.  #PrayForPalestine #PeaceAndJustice
 #Gaza_Geniocide 
#CeasefireInGazaNOW 
#Survivor",,,0.172,0.518,0.311,0.7717
"A heartfelt prayer for the people of Palestine, especially the children of Gaza. May they find peace, solace, and relief from their suffering.  #PrayForPalestine #ChildrenOfGaza #HopeForPeace",,,0.091,0.614,0.295,0.7906
"""Selective humanity""  you're doing the same thing the western world is doing with Ukraine and Palestine. Do not disregard a nations crisis because of another. 
#PrayforPalestine 
#PrayforSudan
#Prayforcongo",,,0.0,0.83,0.17,0.6259
"Listening to this 

#FreePalaestin #FreePalaestine #FreePalestineFormZionist #PrayForGaza #PrayForPalestine",,,0.0,1.0,0.0,0.0
"Cursed be whatever happens after my death

#StopGazaGenocide 
#FreePalestine 
#PrayForPalestine",,,0.302,0.698,0.0,-0.5994
"The killers of the she-camel of Prophet Saleh (peace be upon him) were only four people. The entire nation was punished because the rest committed the crime of remaining silent.

Insha'Allah, Israel will also soon face the consequences

#FreePalestineNow 
#PrayForPalestine",,,0.221,0.736,0.043,-0.8658
Plans genocide with his family #NetanyahuIsAwarCriminal psychopath  #PrayForPalestine ,,,0.0,1.0,0.0,0.0
"The Israeli occupying forces launched an attack on the Qalandiya refugee camp north of Jerusalem, firing tear gas towards homes. #FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide 
",,,0.196,0.75,0.054,-0.6124
"#AsslamuAllekum
In front of your strength, there are those righteous servants of Allah who have more faith in their Lord than in their strength. From today onwards, if anyone talks about trusting weapons, show them this picture. #FreePalaestine #PrayForPalestine #GazaUnderAttack #Gaza_Genocide #Shams_T 
",,,0.056,0.71,0.234,0.8516
#SavePalestine_FromZionism #PrayForGaza #PrayForPalestine #StandWithPalestine #PalestineWillBeFree,,,0.0,1.0,0.0,0.0
"#AsslamuAllekum
And your Lord says", 'Call upon Me; I will respond to you.' Indeed, those who disdain My worship will enter Hell [rendered] contemptible. 40/60 #FreePalaestine #PrayForPalestine  #Gaza_Genocide #Shams_T ,0.0,1.0,0.0,0.0
"@IMshamstrz""",,,0.0,1.0,0.0,0.0
This is Indonesia for PALESTINE #savepalestine #indonesiastandwithpalestine #palestinewillbefree #PrayForPalestine #palestinevictory,,,0.0,1.0,0.0,0.0
Don't stop talking about PALESTINE #palestinegenocide #freepalestine #palestinewillbefree #prayforpalestine,,,0.0,0.809,0.191,0.2235
children never lie #FreePalestineFromIsrael #IsraelCuak #PrayForGaza #PrayForPalestine,,,0.0,1.0,0.0,0.0
"I'm not anti-Semitic , I'm not racist , I'm not terrorist , but what's happening now in Gaza is GENOCIDE and I can't agree with something like that forever  !!! 

#StopGenocideInGaza 
#PrayForPalestine",,,0.076,0.68,0.244,0.7131
"Their tiny hearts, with heavy burdens, weigh, In the midst of chaos, they find their way.

#Palestine #Gaza #PrayForPalestine #Pakistan #Alkhidmat #DonateForPakistan",,,0.237,0.763,0.0,-0.7351
"Estamos vendendo imagens constantes de necrotÃ©rio a cÃ©u aberto em Gaza!! O genocÃ­dio persiste e o governo de Israel parece nÃ£o deter o genocÃ­dio do povo Palestino.  #PrayForPalestine #StopGenocide""",,,0.0,1.0,0.0,0.0
#gaza #PrayForPalestine #FreePalestine #FreePalestin #motaz_azaiza #GazaHolocaust #Gaza_Geniocide #Ø£Ø¨ÙØ¹Ø¨ÙØ¯Ø© #Ø§ÙØ§ØªØ­Ø§Ø¯_Ø§Ø¨ÙØ§ #Trending,,,0.0,1.0,0.0,0.0
"God bless the people of Palestine.

This needs to stop. It's just NOT right.

#PrayForPalestine https://twitter.com/swilkinsonbc/status/1723828770459496540â¦",,,0.109,0.647,0.244,0.4019
"Only to Him we seek
Only Him who guides

#blessed
#PrayForPalestine
#FreePalestine",,,0.0,1.0,0.0,0.0
"Israel is a TERRORIST STATE 

#IsraelisATerorristState 

#FreePalaestine 
#FreeGazaNow 
#PrayForPalestine",,,0.437,0.563,0.0,-0.7531
"""Is there a bigger dream than to want to go back to your home?""
Deep words from such a young mind.
May Allah Subhanahu Wa Ta'la grant them victory. 
#PrayForGaza #PrayForPalestine
#FreePalestine #BDS
",,,0.0,0.828,0.172,0.5859
"Words canât evenâ¦â¦â¦ 

#Palestine #PalestinianLivesMatter #prayforpalestine #gaza #Gazagenocide #IsrealPalestineconflict #PrayForPalestine #IsraelTerrorists #PalestineGenocide
#PalestineWar #GazaHospital #IsraelAttack #GazaUnderAttack #GazaUnderSiege #CeasefireForGazaNOW",,,0.0,1.0,0.0,0.0
"Despite the prevalence of playing games, Palestinian children contend with dire circumstances and a constant battle for survival.

#Palestine #Gaza #PrayForPalestine #Pakistan",,,0.219,0.664,0.117,-0.5574
"Jungkook Zionist
Boycott #Zionist 
STAND WITH PALESTINE
PRAY FOR PALESTINE
#PrayForPalestine
#FreePalestine 
#SaveChildren",,,0.141,0.673,0.186,0.186
This video broke me tonight. We never know kan how our life could inspire/affect other people. Lagi2 kalau mmg kita pempengaruh. This is really really sad  #PrayForPalestine,,,0.206,0.794,0.0,-0.7559
"Ironically, thatâs how this whole thing started, buddy..Zionist Jews coming into Palestine and using intimidation tactics to build an apartheid state #PrayForPalestine",,,0.118,0.882,0.0,-0.4215
"Pakistan has not given Ukraine, which is at war with Russia, any weapons, and it has no intention of doing so.

#ukraine #palestine #PrayForPalestine #IsraeliCrimes #RussiaWar",,,0.281,0.719,0.0,-0.8402
"Alkhidmat Foundation's Woman's Wing bringing hope to the people of  Gaza, one blanket bring children's smile light up their darkest days.

#Palestine #Gaza #PrayForPalestine #Pakistan #Alkhidmat",,,0.101,0.728,0.171,0.296
"#ukraine #palestine #PrayForPalestine #IsraeliCrimes #RussiaWar""",,,0.0,1.0,0.0,0.0
"Alkhidmat Foundation's Woman's Wing bringing hope to the people of  Gaza, one blanket bring children's smile light up their darkest days.

#Palestine #Gaza #PrayForPalestine #Pakistan #Alkhidmat",,,0.101,0.728,0.171,0.296
The  is with Palestine. But some of our pretentious muslim brothers are acting weird #prayforPalestine,,,0.128,0.872,0.0,-0.2617
"The Israeli economy is increasingly declining due to the war. What is the situation like?

#freepalestina #freepalestine #palestina #hamas #israel #prayforpalestine",,,0.154,0.748,0.098,-0.34
Sending prayers and hope for peace to the people of Gaza and Palestine.  #PrayForGaza #PrayForPalestine,,,0.0,0.67,0.33,0.7506
Hope the other leaders also wake up. #PrayForPalestine,,,0.0,0.707,0.293,0.4404
" 
These kids are being forced to grow up every second, they have to sleep with one eye open because tomorrow isnât promised, this isnât a burden anyone should face  The individuals that are doing this are they even human?#Palestine #PalestinianLivesMatter #PrayForPalestine",,,0.13,0.815,0.055,-0.5267
" 

The zionists is not only having war with Palestine  but all over the world. Even if they win the war  the world will disown them forever. The world will never forgive and forget  #PrayForPalestine""",,,0.05,0.649,0.302,0.9056
"#PrayForPalestine 
#FreePalenstine",,,0.0,1.0,0.0,0.0
"The Palestine children are sharing their thoughts with the Muslim world sitting in their houses in ruins by jews and trying to wake up Muslims.

#Palestine #Gaza #PrayForPalestine",,,0.091,0.82,0.088,-0.0258
"Pray for palestine

#PrayForPalestine",,,0.0,0.566,0.434,0.3182
,,,0.0,0.0,0.0,0.0
"#Palestine #Gaza #PrayForPalestine""",,,0.0,1.0,0.0,0.0
"Pray for palestine

#PrayForPalestine",,,0.0,0.566,0.434,0.3182
"In this challenging situation, the Alkhidmat Foundation Woman Wing is distributing blankets to the people of Gaza.

#Palestine #Gaza #PrayForPalestine #Pakistan #Alkhidmat",,,0.0,0.929,0.071,0.1531
#FreePalestine #PrayForGaza #PrayForPalestine #IsraeliNewNazism,,,0.0,1.0,0.0,0.0
"In this challenging situation, the Alkhidmat Foundation Woman Wing is distributing blankets to the people of Gaza.

#Palestine #Gaza #PrayForPalestine #Pakistan #Alkhidmat",,,0.0,0.929,0.071,0.1531
#FreePalestine #PrayForGaza #PrayForPalestine #IsraeliNewNazism,,,0.0,1.0,0.0,0.0
It has arrived. While I cannot go out to the streets and raise my voice  I have decided to do whatever I can within my usual capacity  even if it's just a little #FreeGaza #FreePalaestine #PrayForGaza #PrayForPalestine,,,0.0,1.0,0.0,0.0
"May Allah protect and save the people of PALESTINE and bring peace and justice to their land.

#PrayForPalestine
#FreePalestine",,,0.0,0.542,0.458,0.9136
#PrayForPalestine,,,0.0,1.0,0.0,0.0
"#FreePalestine""",,,0.0,1.0,0.0,0.0
"Jungkook Zionist
fuck jungkook fuck jack harlow fuck jake kodish fuck scooter braun and fuck any and every zionist ignoring the plight of Palestinians 

Boycott #Zionist 
STAND WITH PALESTINE
PRAY FOR PALESTINE
#PrayForPalestine",,,0.445,0.495,0.06,-0.961
"May Allah protect and save the people of PALESTINE and bring peace and justice to their land.
#PrayForPalestine

#StandForPalestine #StandForJustice #FreePalestine",,,0.0,0.572,0.428,0.9136
"Jungkook Zionist
fuck jungkook fuck jack harlow fuck jake kodish fuck scooter braun and fuck any and every zionist ignoring the plight of Palestinians 

Boycott #Zionist 
STAND WITH PALESTINE
PRAY FOR PALESTINE
#PrayForPalestine",,,0.445,0.495,0.06,-0.961
"May Allah protect and save the people of PALESTINE and bring peace and justice to their land.
#PrayForPalestine

#StandForPalestine #StandForJustice #FreePalestine",,,0.0,0.572,0.428,0.9136
"how many more children have to ?!
**For what sin she was killed** surah Al-Takwir
 #IsraelCommitingGenocide
#IsraelcommitingWarcrimes
#FreePalestine #freegaza #boycottisrael #PrayForGaza #gazaunderattack #savegaza #prayforpalestine #freepalestine #freegaza #savethechildren",,,0.13,0.87,0.0,-0.5983
"No words to explain this! This is heartbreaking! Cannot even say thoughts and prayers are with the  families of those who passed away because those remaining ones will be next in line to get caught to this genocide!  

Israelis are murderers!
This is genocide!

#PrayForPalestine",,,0.203,0.797,0.0,-0.8926
"how many more children have to ?!
**For what sin she was killed** surah Al-Takwir
 #IsraelCommitingGenocide
#IsraelcommitingWarcrimes
#FreePalestine #freegaza #boycottisrael #PrayForGaza #gazaunderattack #savegaza #prayforpalestine #freepalestine #freegaza #savethechildren",,,0.13,0.87,0.0,-0.5983
"No words to explain this! This is heartbreaking! Cannot even say thoughts and prayers are with the  families of those who passed away because those remaining ones will be next in line to get caught to this genocide!  

Israelis are murderers!
This is genocide!

#PrayForPalestine",,,0.203,0.797,0.0,-0.8926
#PrayForPalestine #IsraelLaknatulloh,,,0.0,1.0,0.0,0.0
"we are all Palestinians
we are all GAZA",,,0.0,1.0,0.0,0.0
we are all Palestinians,,,0.0,1.0,0.0,0.0
Fuck Palestine ,,,0.778,0.222,0.0,-0.5423
They are Stand with humanity respect for US ,,,0.0,0.693,0.307,0.4767
"The average IQ in Gaza is 67.9 and 30% of the marriages are between first cousins. 

Forrest Gump had an IQ of 75, for reference.",,,0.0,1.0,0.0,0.0
"This donkey is working more for the oppressed Muslims of #Gaza than the rulers of the Islamic world.
#FreePalestine #OIC #hamas #GazaGeniocide",,,0.138,0.862,0.0,-0.5209
Remove BJP, liberate yourself from the bulls...,,0.0,1.0,0.0,0.0
"Texas, US - why not Iran ? why not in Iraq ? why not in any of 22 Arabic countries ??",,,0.0,1.0,0.0,0.0
Free free. ,,,0.0,0.0,1.0,0.765
Free Palestine  ,,,0.0,0.233,0.767,0.5106
#FreePalestine,,,0.0,1.0,0.0,0.0
"Tidak mustahil orang2 kristian akan membunoh bangsa israel, kerana benci akan kekejaman bangsa ini.",,,0.0,1.0,0.0,0.0
"Muslim are born to die 
Am I right",,,0.394,0.606,0.0,-0.5994
those in Spain towards Palestine. and what are they doing?,,,0.0,1.0,0.0,0.0
Respect  ,,,0.0,0.0,1.0,0.4767
#BidenDemocrats,,,0.0,1.0,0.0,0.0
ISRAEL ESTADO TERRORISTA,,,0.0,1.0,0.0,0.0
The land was Jewish before Muslims conquered it in 611 .... there was no such thing called Palestine.....  The history didn't start in 1947 ....,,,0.084,0.916,0.0,-0.296
Respect  ,,,0.0,0.0,1.0,0.4767
#BidenDemocrats,,,0.0,1.0,0.0,0.0
ISRAEL ESTADO TERRORISTA,,,0.0,1.0,0.0,0.0
"Our answer to October 7th will be conquest, deportation and Jewish settlement",,,0.0,1.0,0.0,0.0
This is terrorism ,,,0.697,0.303,0.0,-0.6808
The West Bank has no Hamas BTW!,,,0.293,0.707,0.0,-0.3595
"A country that asserts its power is waging war against women, children and common citizens, the rules of war are being broken every day, and the world is silent even as the world watches, humanity is collapsing in the world. STOP THE GENOCIDE
#FreePalestine #FreeGazaNow",,,0.291,0.709,0.0,-0.9436
"Letâs start a chain of âAllah is Sufficient for us, and He is the Best Disposer of affairs. for Palestine ",,,0.0,0.811,0.189,0.6369
#FreePalaestine ,,,0.0,1.0,0.0,0.0
#FreePalestine ,,,0.0,1.0,0.0,0.0
"#WeStandWithPalestine """,,,0.0,1.0,0.0,0.0
Ø­Ø³Ø¨ÙØ§ Ø§ÙÙÙ ÙÙØ¹Ù Ø§ÙÙÙÙÙ..,,,0.0,1.0,0.0,0.0
The terrorist occupation forces continue their crimes with impunity because of the support from US and EU.,,,0.21,0.67,0.121,-0.4588
Maybe they are Hamas members,,,0.0,1.0,0.0,0.0
"NEW: California governor Gavin Newsom admits the only reason Dem leaders cleaned up San Francisco was because world leaders were coming for APEC.

âFolks say: âoh, they're just cleaning up this place because all those fancy leaders are coming into town.ââ

âThatâs true becauseâ¦",,,0.0,0.894,0.106,0.6124
" there is no HAMAS here..""",,,0.355,0.645,0.0,-0.296
The most justified war,,,0.456,0.218,0.326,-0.2927
More Pallywood?,,,0.0,1.0,0.0,0.0
Is this Sanatan darm?,,,0.0,1.0,0.0,0.0
Ayesha and prophet ,,,0.0,1.0,0.0,0.0
Is it fake or not? That's terrible....,,,0.341,0.659,0.0,-0.4767
" RECAP #Israel #Palestine

1. Israeli Prime Minister Benjamin Netanyahu said that Israel would assume âoverall security responsibilityâ of the Gaza Strip for an indefinite period after its war with Hamas, the most public pushback against USâ¦",,,0.097,0.844,0.06,-0.3612
That looks a lot like Mexico,,,0.0,0.615,0.385,0.3612
"stop spreading lies 
Mexican police officer in a riot in 2020 in Guadalajara.",,,0.489,0.511,0.0,-0.8225
Abe chutiye solder pe dekh kiska flag hai isi liye bolta hu pahle ja kari lao uske baad bakchodi karo per tum bhosdi wale ko to apne aage kuchh dikhta hu nahi #israelisrealterrist #hamasiasfighter,,,0.0,1.0,0.0,0.0
Is this Sanatan darm?,,,0.0,1.0,0.0,0.0
Ayesha and prophet ,,,0.0,1.0,0.0,0.0
Is it fake or not? That's terrible....,,,0.341,0.659,0.0,-0.4767
" RECAP #Israel #Palestine (as of 07:00 GMT, 7 November)

1. Israeli Prime Minister Benjamin Netanyahu said that Israel would assume âoverall security responsibilityâ of the Gaza Strip for an indefinite period after its war with Hamas, the most public pushback against USâ¦",,,0.086,0.861,0.053,-0.3612
That looks a lot like Mexico,,,0.0,0.615,0.385,0.3612
"stop spreading lies 
Mexican police officer in a riot in 2020 in Guadalajara.",,,0.489,0.511,0.0,-0.8225
"what proof do you have that this is in the UK, we can clearly see the Mexican flag at the uniform of the policeman. Also, what proof do you have that this was done at a ""Hamas demonstration""",,,0.0,0.895,0.105,0.4767
That is 4 Jun 2020 in Guadalajara Mexico.,,,0.0,1.0,0.0,0.0
no we don't ,,,0.524,0.476,0.0,-0.296
IDIOTEN,,,0.0,1.0,0.0,0.0
Honda sport Goli maar Deni chahie,,,0.0,1.0,0.0,0.0
Very good ,,,0.0,0.238,0.762,0.4927
Thatâs not a British police officer. ,,,0.0,1.0,0.0,0.0
Er.. that's 100% not in Britain.,,,0.0,1.0,0.0,0.0
RIP   EUROPE,,,0.0,1.0,0.0,0.0
reverse image and video searching is a blessing,,,0.0,0.652,0.348,0.4939
Satan Voice ,,,0.0,1.0,0.0,0.0
That's not the UK lol,,,0.368,0.632,0.0,-0.3252
What hamas related.  The guy were toyota shirt.,,,0.0,1.0,0.0,0.0
This is NOT BRITAIN IT WAS MEXICO IN 2020,,,0.0,1.0,0.0,0.0
Wtf,,,1.0,0.0,0.0,-0.5859
#ISISISISRAEL,,,0.0,1.0,0.0,0.0
this should be america,,,0.0,1.0,0.0,0.0
Peaceful religion,,,0.0,0.238,0.762,0.4939
Thatâs not BRITAIN !!!,,,0.0,1.0,0.0,0.0
That's not British,,,0.0,1.0,0.0,0.0
By the way it's not Hamas it's Mexico 2020,,,0.0,1.0,0.0,0.0
Lies and defamation. This is in Mexico in 2020.,,,0.259,0.741,0.0,-0.4215
Fake that is not a British police uniform..,,,0.341,0.659,0.0,-0.4767
Deport them.,,,0.0,1.0,0.0,0.0
Please also share what's happening in Gaza,,,0.0,0.526,0.474,0.5423
3 years old video ,,,0.0,1.0,0.0,0.0
The peaceful vibes of many Palestinians who support Hamas ,,,0.0,0.543,0.457,0.7096
Deport them.,,,0.0,1.0,0.0,0.0
Please also share what's happening in Gaza,,,0.0,0.526,0.474,0.5423
3 years old video ,,,0.0,1.0,0.0,0.0
The peaceful vibes of many Palestinians who support Hamas ,,,0.0,0.543,0.457,0.7096
"Don't be like idiots, don't spread fake news. There are enough real videos for that",,,0.119,0.736,0.145,0.1139
Laying this is old video,,,0.0,1.0,0.0,0.0
this is the future of europe. europe will fall into the darkness of islam before 2050,,,0.118,0.882,0.0,-0.25
Well that's one way to try to get sympathy...,,,0.0,0.792,0.208,0.2732
Is there a follow up on this guy?,,,0.0,1.0,0.0,0.0
Laying this is old video,,,0.0,1.0,0.0,0.0
this is the future of europe. europe will fall into the darkness of islam before 2050,,,0.118,0.882,0.0,-0.25
Well that's one way to try to get sympathy...,,,0.0,0.792,0.208,0.2732
He lies like a scoundrel.,,,0.384,0.274,0.342,-0.0772
Is there a follow up on this guy?,,,0.0,1.0,0.0,0.0
Not the UK,,,0.0,1.0,0.0,0.0
Fake video this is not palestine demonstration. You a liar,,,0.562,0.438,0.0,-0.7715
Did they shoot that terrorist?,,,0.703,0.297,0.0,-0.7964
Thats mexican flag,,,0.0,1.0,0.0,0.0
Mexican police officer in a riot in 2020 in Guadalajara,,,0.31,0.69,0.0,-0.5574
This is not a British,,,0.0,1.0,0.0,0.0
"False, this was a protest in 2020 in Mexico, quit lying, you can see the Mexican flag on his right sleeve",,,0.231,0.769,0.0,-0.6597
Fake news spreader are equal to crime doer,,,0.524,0.476,0.0,-0.765
Keep spreading propaganda, an old video from Mexico,,0.5,0.5,0.0,-0.25
in the same time - party  alcohols  hookers and private jet to the Hamas leaders,,,0.0,0.828,0.172,0.4019
"British police looks different, do t spread fake",,,0.341,0.659,0.0,-0.4767
Nah man i think they look like this,,,0.157,0.562,0.281,0.2732
"Since that is not a British policeman and that incident did not occur in Britain I can safely say

...This is what Zionist propaganda looks like.",,,0.07,0.732,0.199,0.5719
I dunno. Mebbe British cops should start carrying guns. Just sayin'.,,,0.0,1.0,0.0,0.0
Itâs interesting to me that the WHO is not calling for the release of the hostages.,,,0.0,0.847,0.153,0.4019
"
 - this morning the IDF delivered fuel to Al-Shifa Hospital.

#Hamas stopped them from receiving it.
look into the facts. condemn Hamas.
all the proof is here ",,,0.158,0.842,0.0,-0.5423
"the situation is horrific

here below proof",,,0.423,0.577,0.0,-0.6597
And that is not to mention the bombs hitting #AlShifaHospital (and other facilities) in #Gaza.,,,0.0,1.0,0.0,0.0
Letâs be honest for once shall we? The only reason israel is interested in the hospital is because Hamas are there. Itâs their base. (War crime btw). So why not call on Hamas to surrender? Surely that will be the quickest way to end this.,,,0.065,0.763,0.172,0.6966
"WAIT! 

Is this the same Tedros guy who helped China make sure that nobody knew that Covid leaked from Wuhan?

Cool cameo!",,,0.087,0.717,0.196,0.4374
Get Hamas to distribute its resources. Hamas actually confiscated fuel Israelis gave to Shifa for emergency purposes. You forgot to report that. Why is that???,,,0.116,0.884,0.0,-0.4836
"No one should suffer the consequences of Hamas's inhumanity and brutality.
#StandUp4HumanRights
DO NOT Support #Terror
#FreeGaza From Hamas
#BringBackOurChildren
#Hamas #Terrorism
Who kidnaps kids?
#BringThemHome
#ChildAbduction",,,0.342,0.658,0.0,-0.8992
"The longer the medical chaos at the hospital goes on, the more time Hamas gains from Israel entering and getting to the Hamas HQ under the hospital. 

You know this but instead of calling for the toppling of Hamas, you call for a ceasefire which helps them; Not Gazans.",,,0.045,0.856,0.099,0.437
"Soft is stronger than hard
Water stronger than rock, love stronger than violence",,,0.224,0.286,0.49,0.7579
longer than 3 days,,,0.0,1.0,0.0,0.0
"On 18 July 2015 at 12:02 am, after Britainâs most powerful newspaper published online about the video of 4 senior royals publicly supporting Nazi in Buckingham Palace Garden (see evidence attached), communities across Britain and international communities in 195 countries aroundâ¦ twitter.com/TheSun/status/â¦",,,0.0,0.867,0.133,0.7178
"On 17 July 2015, after Britainâs most powerful newspaper printed a front page breaking news story about the video of 4 senior royals publicly supporting Nazi in Buckingham Palace Garden (see evidence attached), communities across Britain and international communities in 195â¦ twitter.com/compassion_heaâ¦",,,0.0,0.864,0.136,0.7178
"lsraeli warplanes launch a series of airstrikes against southern Gaza Strip.
#FreePalestine#GazaGeniocide",,,0.0,1.0,0.0,0.0
Thanks for UR persistent advocacy 4 the right thing....,,,0.0,0.707,0.293,0.4404
what's the status of the NICU babies? Her's Al Jazeera's piece as of yesterday,,,0.0,1.0,0.0,0.0
Tedros' rise is amazing--from train conductor to head of WHO..Surely there's a story behind it.,,,0.0,1.0,0.0,0.0
"Also, itâs been completely evacuated so the people this is a problem for is #Hamas_is_ISIS , which explains why 
@WHO
 is so worked up about it. #NeverAgainIsNow #IStandWithIsrael",,,0.097,0.903,0.0,-0.4019
